name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Röhr Malte, Spårvägens BTK,2,,,,,,,,2
Shabani Elias, BTK Rekord,2,,1,,,,1,,
Vinntreus Maximilian, Spårvägens BTK,2,,,,,,,,2
Wiksten Nikolaj, IFK Klagshamn,2,,1,,,,1,,
Arvidsson Vincent, Vaggeryds BTK,1,,1,,,,,,
Astervall Olle, Spårvägens BTK,1,,,,,,,,1
Bentefour Edward, Ängby SK,1,,,,,,,,1
Borg Oscar, Bergkvara BTK,1,,,,1,,,,
Brosten Gustav, BTK Safir,1,,,,,,,1,
Buch Vural Felix, Team Egedal BTK,1,,1,,,,,,
Burfelt Melker, Lyckeby BTK,1,,,,1,,,,
Carlberg Mathis, Söderhamns UIF,1,,,,,,,,1
Carlheim-Müller Victor, Ängby SK,1,,,,,,,,1
Carlqvist Aaron, Ängby SK,1,,,,,,,,1
Chen Kevin, Spårvägens BTK,1,,,,,,,,1
Erlandsen Niklas, Fokus BTK,1,1,,,,,,,
Fissore Oscar, IFK Lund BT,1,,,,,,1,,
Forsberg Lucas, Spårvägens BTK,1,,,,,,,,1
Gao Xing, Ängby SK,1,,,,,,,,1
Gomejzon Benjamin, Boo KFUM IA,1,,,,,1,,,
Haglund Viggo, BTK Safir,1,,,,,,,1,
Hobeoja Ottomar, LTK Kalev,1,,,1,,,,,
Kozintesev Enrico, LTK Kalev,1,,,1,,,,,
Lafin Eddie, KFUM Jönköping IA,1,,,,,1,,,
Lagerqvist Leo, Västers BTK,1,,,,,,,1,
Lundblad Noah, Spårvägens BTK,1,,,,,,,,1
Mehmedovic Alvin, Högsby BTK,1,,,,1,,,,
Nyström Algot, Bergkvara BTK,1,,,,1,,,,
Oscarsson Rasmus, Kils BTK,1,,,,,,,1,
Radoor Mikkel, Team Egedal BTK,1,,1,,,,,,
Sharon Harel, Rishon LeZion,1,,,1,,,,,
Sjöström Arvid, IF Norcopensarna,1,,,,,,,,1
Stark Elmer, Spårvägens BTK,1,,,,,,,,1
Wall Leon, Oskarshamns BTK,1,,,,1,,,,
Wall Noel, Oskarshamns BTK,1,,,,1,,,,
Wintvik Henrik, Halmstad BTK,1,1,,,,,,,
Öberg Leo, IFK Visby,1,1,,,,,,,
Öh Victor, IFK Täby BTK,1,,,,,,,,1
