name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Sahr Aaron, Luxembourg,10,,,3,,,,7
Wu Erik, Askims BTK,10,1,,,1,4,3,1
Ekeroth Hugo, Halmstad BTK,9,,4,,5,,,
Hermann Magne, Lekstorps IF,9,,,,3,4,,2
Hetherton Rhys, Wales,9,,,,,,5,4
Häggström Axel, Norrtulls SK,9,1,1,1,1,1,3,2
Nordenskiöld Frid Max, Spårvägens BTK,9,,,5,,,,4
Ramnäs Leo, Mölndals BTK,9,,4,,,4,,1
Sandegren Oskar, Spårvägens BTK,9,5,4,,,,,
Zhou Kevin, VirumSorgenfri BTK,9,3,4,,,1,1,
Bildhjerd Alwin, Ängby SK,8,,,3,5,,,
Engström Alexander, Hammarby IF BTF,8,3,,1,,2,,2
Engström Vilmer, LinnePartille PK,8,1,4,,1,1,,1
Gierup David, Uppsala BTK,8,3,2,3,,,,
Høghøj Bedsted Janus, Brønshøj,8,1,4,,,,3,
Klingström Walter, TibbleKungsängen BTK,8,1,1,3,,,1,2
Kongsdal Andreas, Vestegnen BTK,8,3,2,,,,3,
Käld Areskoug Kimmy, Tullinge TP BTK,8,,2,3,,1,,2
Larsson Vidar, Uppsala BTK,8,,,,3,,5,
Martinsson Hugo, Lekstorps IF,8,3,,,1,2,1,1
Mäkelä Ola, Uppsala BTK,8,1,4,1,,,,2
Petersson Tintin, IFK Klagshamn,8,,,,1,4,3,
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,7,,4,1,,,1,1
Alestedt Peter, IFK Täby BTK,7,,,,,,,7
Bengtsson Simon, Halmstad BTK,7,1,1,,,4,1,
Bergqvist David, Norrtulls SK,7,1,1,3,1,,,1
Brunzell Kevin, Ängby SK,7,,7,,,,,
Corric Paolo, Region Occitanie,7,,,,,,,7
Dunkley Ben, England,7,,,,5,,,2
Eriksson Anthony, TibbleKungsängen BTK,7,,1,3,,,3,
Farnes Michael, Norge,7,,,,,,,7
Fischer Mio, Norrtulls SK,7,1,1,1,1,,1,2
Gjörling Rasmus, Ängby SK,7,,,5,,,,2
Hamblett James, Urban TTC,7,,,,,,,7
Højslet Gustav, Ribe BTK,7,3,4,,,,,
Lapina Hugo, Region Alpes Cote d'Azur,7,,,,,,,7
Lund Heinig David, Hvidovre Bordtennis,7,,7,,,,,
Nilsson Noa, IFK Lund Bordtennis,7,1,1,,,2,3,
Pattison Ralph, England,7,,,,,,,7
Randall Harry, England,7,,,,5,,,2
Trygg Tor, Spårvägens BTK,7,1,,1,5,,,
Weston Sixten, Spårvägens BTK,7,,,5,2,,,
Budal Zune, Vestegnen BTK,6,3,,,,,3,
Haegerstam Hampus, Linköpings PK,6,,,3,,,3,
Johansson Melker, Norrtulls SK,6,,,,,1,5,
Majdalani Viktor, Spårvägens BTK,6,,,3,3,,,
Nielsen Snorre, Amager BTK,6,3,2,,,,1,
Santander Munoz Gabriel, Spårvägens BTK,6,1,,1,3,,,1
Sivertsen Fredrik, Fokus BTK,6,,,,5,,,1
Alfredsson Max, Gefle PK,5,,,1,3,,,1
Alfredsson Morgan, Gefle PK,5,,,1,3,,,1
Börjesson Filip, Tomelilla AIS,5,1,1,,,,3,
Claesson Felix, IFK Lund BT,5,,,,,,5,
Gilad Levin, Rishon LeZion,5,,,5,,,,
Strand Alvar, Solna BTK,5,,,,3,2,,
Wirk Nikolaj, Vestegnen BTK,5,,,,,,5,
Asterhed Arvid, Lyckeby BTK,4,1,1,,1,,,1
Benchat Marius, Region Occitanie,4,,,,,,,4
Bjerke Ebbe, BTK Safir,4,1,,3,,,,
Brandt Edvard, Rotebro BTK,4,3,,,,,,1
Brattvang Kim Alexander, Sarpsborg BTK,4,,,,,,,4
Bunge Tristan, Ängby SK,4,,4,,,,,
Cavaille Sandro, Region Alpes Cote d'Azur,4,,,,,,,4
Champauzas Maxence, Region Alpes Cote d'Azur,4,,,,,,,4
Figuiere Fabre Quentin, Region Occitanie,4,,,,,,,4
Hallberg Leon, Halmstad BTK,4,,4,,,,,
Häggander Tore, Svanesunds GIF,4,,4,,,,,
Jonasson Karl, BTK Frej,4,1,1,,1,,1,
Krook Joel, Askims BTK,4,3,,,,1,,
Lavanant Esteban, Region Alpes Cote d'Azur,4,,,,,,,4
Mortensen Petter, Norge,4,,,,,,,4
Nizio Zbigniew, Region Alpes Cote d'Azur,4,,,,,,,4
Rode Von Essen Theodor, VirumSorgenfri BTK,4,,4,,,,,
Scholtes Pit, Luxembourg,4,,,,,,,4
Vonebjerg Simom, OB Bordtennis,4,,4,,,,,
Bengtsson Tage, KFUM Kristianstad BTF,3,1,1,,,,1,
Bjerke Einar, BTK Safir,3,2,,,,,,1
Dommermuth Sivertsen Fredrik, Fokus BTK,3,3,,,,,,
Durakovic Neo, BTK Safir,3,,,3,,,,
Gardshol Martin, Stenungsunds BTF,3,3,,,,,,
Grunfeld Tomy, Rishon LeZion,3,,,3,,,,
Itzik Roi, Haifa,3,,,3,,,,
Johansson Gustav, Fokus BTK,3,1,,,1,,,1
Kraiko Martin, LTK Kalev,3,,,3,,,,
Mattbäck Kean, Söderhamns UIF,3,,,3,,,,
Persson Fredrik, IFK Lund Bordtennis,3,1,2,,,,,
Rengbrandt Lucas, Trelleborgs BTK,3,,1,,,1,1,
Rosenberg Bergholt Villads, Denmark,3,,,3,,,,
Theisen Max, Luxembourg,3,,,3,,,,
Aagard Torum Mats, Fokus BTK,2,,,,1,,,1
Aagard Torum Ulrik, Fokus BTK,2,,,,1,,,1
Arnell Elling, LinnePartille PK,2,1,1,,,,,
Bigander Vincent, Rotebro BTK,2,1,,,,,,1
Blecher Bruno, Norrtulls SK,2,,1,,,1,,
Carlsson Hannes, KFUM Kristianstad BTF,2,,,,,1,1,
Fredriksson Albin, Spårvägens BTK,2,,,,,,,2
Gustafsson Gunnar, Boo KFUM IA,2,,,,,1,1,
Johansson Elis, Rotebro BTK,2,1,,,,,,1
Johansson Kenneth, Rotebro BTK,2,1,,,,,,1
Månsson Panagiotis, BTK Rekord,2,,1,,,,1,
Pelling Vincent, Uppsala BTK,2,,2,,,,,
Salmi Lenny, Västerås BTK,2,,,1,,,,1
Svanström Alvin, Lyckeby BTK,2,,1,,,,1,
Tibblin Emil, Stratos Enköping BTK,2,,,1,,,,1
Törnkvist Hampus, Halmstad BTK,2,,1,,,,1,
Aasen Philip, Fornebu BTK,1,,,,,,,1
Alafandy Abdarrazzaq, Fornebu BTK,1,,,,,,,1
Andersson Olle, IFK Lidköping,1,,,,,1,,
Appelgren Isac, Lekstorps IF,1,,,,,,,1
Bonato Francesco, Fusion TTC,1,,,,,,,1
Bravo Eliah, Upplands Väsby BTK,1,,1,,,,,
Candida Leonardo, Milano TTC Academy,1,,,,,,,1
Eneroth Otto, Lyckeby BTK,1,,,,1,,,
Ferm Sebastian, BTK Rekord,1,,1,,,,,
Forno Giacomo, Milano TTC Academy,1,,,,,,,1
Frizzera Federico, Milano TTC Academy,1,,,,,,,1
Fuchs Matan, Rishon LeZion,1,,,1,,,,
Färdig Johannes, Gefle PK,1,,,,,,,1
Harwood Toby, Wales,1,,,,,,1,
Häggström Nils, Spårvägens BTK,1,,,,1,,,
Jedland Emil, Uppsala BTK,1,,1,,,,,
Johansson Liam, IFK Lidköping,1,,,,,1,,
Markussen Mathias, Fornebu BTK,1,,,,,,,1
Morkved Moen, Fokus BTK,1,,,,,,,1
Moro Edgar, Luxembourg,1,,,,,,,1
Olsson Frank, Spårvägens BTK,1,,,,1,,,
Ormegard Alexander, BTK Safir,1,,,,,,,1
Puleo Achille, Milano TTC Academy,1,,,,,,,1
Påhlman Oscar, BTK Rekord,1,,1,,,,,
Saksinen Sam, Värmskogs SK,1,,,,,,,1
Sandberg Melvin, Stenungsunds BTF,1,1,,,,,,
Storskog Vincent, Spårvägens BTK,1,,1,,,,,
Swedmark Torsten, Boo KFUM IA,1,,,,,1,,
Thomas Türi Frank, LTK Kalev,1,,,1,,,,
Wellsjö Emil, Uppsala BTK,1,,,1,,,,
Zeme Aleksis, Latvia,1,,,,,,,1
Zubkov Kirill, LTK Kalev,1,,,1,,,,
Åkerstedt Filip, Karlsborgs BTK,1,,,,,1,,
Öberg Zebastian, IFK Visby,1,1,,,,,,
