name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Erlandsen Niklas, Fokus BTK,1,1,,,,,,
Fissore Oscar, IFK Lund BT,1,,,,,,1,
Gomejzon Benjamin, Boo KFUM IA,1,,,,,1,,
Haglund Viggo, BTK Safir,1,,,,,,,1
Hobeoja Ottomar, LTK Kalev,1,,,1,,,,
Kozintesev Enrico, LTK Kalev,1,,,1,,,,
Lafin Eddie, KFUM Jönköping IA,1,,,,,1,,
Lagerqvist Leo, Västers BTK,1,,,,,,,1
Mehmedovic Alvin, Högsby BTK,1,,,,1,,,
Nilsson Elliot, Stratos Enköping BTK,1,,,,,,,1
Nyström Algot, Bergkvara BTK,1,,,,1,,,
Oscarsson Rasmus, Kils BTK,1,,,,,,,1
Radoor Mikkel, Team Egedal BTK,1,,1,,,,,
Sharon Harel, Rishon LeZion,1,,,1,,,,
Wall Leon, Oskarshamns BTK,1,,,,1,,,
Wall Noel, Oskarshamns BTK,1,,,,1,,,
Wintvik Henrik, Halmstad BTK,1,1,,,,,,
Öberg Leo, IFK Visby,1,1,,,,,,
