name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Ranefur Elias, Ängby SK,133,39,55,39,,,,,
Haug Borgar, Halmstad BTK,71,16,,,55,,,,
Lindsö Daniel, Söderhamns UIF,56,16,9,9,31,,,,
Möregårdh Truls, Eslövs AI BTK,55,55,,,,,,,
Lundquist Jens, Söderhamns UIF,55,,,55,,,,,
Gerell Pär, Kosta SK,52,31,5,16,,,,,
Åkerström Fabian, Halmstad BTK,49,9,9,,31,,,,
Sandström Per, Söderhamns UIF,41,9,16,9,16,,,,
Helmy Mahmoud, Egypten,40,,9,31,,,,,
Nishihara Shoma, BTK Kävlinge,40,,31,,9,,,,
Söderlund Hampus, BTK Rekord,39,,39,,,,,,
Iwanaga Kazuhiza, Fokus BTK,39,,,,39,,,,
Doyen Antoine, Eslövs AI BTK,32,16,16,,,,,,
Cathcart Owen, Halmstad BTK,31,,31,,,,,,
Hachard Antoine, CAEN TTC,31,31,,,,,,,
Nordberg Hampus, Söderhamns UIF,31,,,31,,,,,
Törngren Hugo, Eslövs AI BTK,30,3,5,16,9,,,,
Widing Charlie, Halmstad BTK,30,9,16,,5,,,,
Eriksson Anders, Söderhamns UIF,25,9,,16,,,,,
Klang Johannes, Askims BTK,24,2,16,3,5,,,,
Nylén Hugo, Halmstad BTK,24,3,,5,16,,,,
Alfredsson Isak, Halmstad BTK,23,5,3,9,9,,,,
Sundin Isak, Spårvägens BTK,23,2,5,9,9,,,,
Bergenblock William, Halmstad BTK,21,,,16,5,,,,
Franco Carlos, Spanien,21,16,5,,,,,,
Carlsson Charlie, Eskilstuna BTK,18,,,9,9,,,,
Naumi Alex, Eslövs AI BTK,18,9,9,,,,,,
Assar Khaled, Lyckeby BTK,16,,,,16,,,,
Lam Khai Noah, Fokus BTK,16,,,,16,,,,
Larsson Dennis, Söderhamns UIF,15,5,5,3,5,,,,
Andersson Anton, Lyckeby BTK,14,5,9,,,,,,
Davidsson Wilmer, Mariedals IK,14,2,3,2,9,,,,
Hedbom Max, BTK Rekord,14,9,5,,,,,,
Hunter Joseph, England,14,,9,,5,,,,
Loso Sebastian, Spårvägens BTK,14,5,,9,,,,,
