name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Lindsö Daniel, Söderhamns UIF,79,24,,55,,,,,
Sjövold Alve, Ängby SK,77,7,,39,31,,,,
Niva Jönsson Axel, BTK Frej,67,4,55,5,7,,,,
Hedbom Max, BTK Rekord,63,24,39,,,,,,
Törngren Hugo, Eslövs AI BTK,54,7,16,31,,,,,
Harada Tetta, Fokus BTK,45,,,,45,,,,
Haug Borgar, Halmstad BTK,45,45,,,,,,,
Sundin Isak, Spårvägens BTK,44,12,16,16,12,,,,
Dyekjaer Theo, IFK Lund Bordtennis,43,12,31,,,,,,
Lundqvist Elliot, Söderhamns UIF,40,31,,9,,,,,
Carlsson Charlie, Eskilstuna BTK,38,,,31,7,,,,
Larsson Dennis, Söderhamns UIF,38,2,5,9,24,,,,
Nylén Hugo, Halmstad BTK,32,,9,16,7,,,,
Widing Charlie, Halmstad BTK,32,4,16,,12,,,,
Samuolis Dominykas, Roskilde BTK 61,31,,31,,,,,,
Mikael Joel, Lyckeby BTK,29,4,16,9,,4,,,,
Friis-Hansen Emil, Spårvägens BTK,26,12,9,5,,,,,
Alfredsson Isak, Halmstad BTK,25,,9,9,7,,,,
Iwanaga Kazuhiza, Fokus BTK,24,,,,24,,,,
Wiener Hampus, BTK Rekord,22,4,9,9,,,,,
Edwardsson Isak, Ängby SK,21,4,9,5,7,,,,
Bergenblock William, Halmstad BTK,20,,,16,4,,,,
Klang Johannes, Askims BTK,19,7,5,3,7,,,,
Bramfors Karl, Horreds BTK,18,4,9,5,4,,,,
Lundqvist Simon, Söderhamns UIF,18,2,,16,,,,,
Alestedt Peter, IFK Täby BTK,17,7,5,5,,,,,
Hansson Victor, Horreds BTK,17,7,5,5,4,,,,
Piggot Benjamin, England,17,,5,,12,,,,
Färdig Elias, Gefle PK,14,2,5,5,4,,,,
Sandholt Mattias, BTK Rekord,14,2,3,9,,,,,
Törner Jakob, Spårvägens BTK,14,7,,3,4,,,,
Ridegård Charlie, Eslövs AI BTK,13,4,5,,4,,,,
Sjögren Elias, Ängby SK,13,4,9,,,,,,
Bergman William, Stratos Enköping BTK,12,2,5,3,4,,,,
Davidsson Wilmer, Mariedals IK,12,4,5,3,2,,,,
Johnsson Emil, Halmstad BTK,12,2,5,5,2,,,,
Lam Khai Noah, Fokus BTK,12,,,,12,,,,
Rommedahl Hugo, Huskvarna Södra IS,12,4,3,5,1,,,,
Wesshagen Edward, Spårvägens BTK,12,12,,,,,,,
Sundin Elias, Spårvägens BTK,11,4,5,2,1,,,,
Arvidsson Edvin, BTK Frej,10,,,3,7,,,,
Kotromanac Aleksandar, Åstorps BTK,10,4,3,3,,,,,
