name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Nilsson Alice, Våxtorps BOIS,66,,24,24,18,,,,
Benjegård Siri, Askims BTK,63,9,45,5,4,,,,
Olsson Linn, BTK Frej,52,5,31,9,7,,,,
Kalvatn Christine, Fokus BTK,49,36,,,13,,,,
Svensson Agnes, Halmstad BTK,48,5,12,18,13,,,,
Stoffregen Mille, Silkeborg BTK,42,24,,18,,,,,
Girlea Maria, Finland,36,,,36,,,,,
Axelsson Sandra, Eslövs AI BTK,30,18,7,3,2,,,,
Baasan Nomin, Eslövs AI BTK,28,,,,28,,,,
Eriksson Sofia, BTK Rekord,25,9,4,5,7,,,,
Hansen Maja, OB Bordtennis,25,9,7,9,,,,,
Johansson Emilia, Sjömarkens BTK,25,18,7,,,,,,
Pashley Ella, England,24,,24,,,,,,
Fred Josephina, Mariedals IK,21,5,7,5,4,,,,
Rosager Christensen Ann-Christine, Viby BTK,21,,12,9,,,,,
Vendelbo Clement Emma, Virum/Sorgenfri BTK,21,5,7,9,,,,,
Kullingsjö Isabelle, IFK Falköping BTK,19,9,7,3,,,,,
Oredsson Tuva, Halmstad BTK,18,5,4,5,4,,,,
Jones Megan, England,16,,12,,4,,,,
Natanaelsson Moa, Spårvägens BTK,16,3,12,1,,,,,
Freij Nathalie, Spårvägens BTK,13,3,7,3,,,,,
Stahle Olin Klara, Spårvägens BTK,12,5,4,3,,,,,
Thorén Wilma, Eslövs AI BTK,11,3,4,,4,,,,
Bebawy Angelina, KFUM Stocksund IA,10,,7,3,,,,,
Engström Betty, Levide IF,10,5,2,3,,,,,
Ericson Isabella, Oskarshamns BTK,9,1,4,,4,,,,
Edvardsson Nora, Lessebo BTK,8,3,4,,1,,,,
Nilsson Wilma, Lyckeby BTK,8,3,1,,4,,,,
Sahle Sofia, LinnePartille PK,8,3,4,1,,,,,
Ödlund Tilde, Oskarshamns BTK,8,3,4,,1,,,,
Cabardo Laurynne, Ängby SK,7,,4,3,,,,,
Della Morte Hillevi, Vassunda IF,7,,4,3,,,,,
Mariott Amy, England,7,,,,7,,,,
Tveit Muskantor Leah, Köpings BTK,7,,,,7,,,,
Österlund Nathalie, Västers BTK,7,3,4,,,,,,
Wålme Malva, Askims BTK,6,3,1,1,1,,,,
Ödlund Maja, Oskarshamns BTK,6,1,1,,4,,,,
Aaltonen Gabriela, Spårvägens BTK,5,,2,3,,,,,
Eckeroth Sofia, Denmark,5,,,5,,,,,
Franzén Nellie, Halmstad BTK,5,,,5,,,,,
Hellström Ida, Ängby SK,5,,,5,,,,,
Momeni Ramila, Ängby SK,5,1,4,,,,,,
Nurga Raili, Sport Club Pinx,5,,,5,,,,,
Skjøld Hinze Filippa, Fokus BTK,5,5,,,,,,,
Baig Maliha, England,4,,4,,,,,,
Ferm Indra, Karlsborgs BTK,4,,4,,,,,,
Jetha Sienna, England,4,,4,,,,,,
Palmnert Lowa, Eslövs AI BTK,4,1,1,,2,,,,
Ronnebring Tuva, Halmstad BTK,4,,4,,,,,,
Asterhed Alma, Lyckeby BTK,3,1,1,,1,,,,
Dembek Filippa, Åsa IF,3,3,,,,,,,
Dumont Tessy, Luxembourg,3,,,3,,,,,
Edberg Tilda, Spårvägens BTK,3,,,3,,,,,
Ellermann Clara, Västers BTK,3,,,3,,,,,
Eriksson Alice, Svanesunds GIF,3,1,1,,1,,,,
Flor Wilhemsen Susanne, Trondheims BTK,3,,,3,,,,,
Forsberg Ella, Spårvägens BTK,3,,2,1,,,,,
Ikkonen Eiris, LTK Kalev,3,,,3,,,,,
Lou Sally, Virum-Sorgenfri BTK,3,,2,1,,,,,
Nilsson Nathalie, Spårvägens BTK,3,1,,1,1,,,,
Sadikovic Melisa, Luxembourg,3,,,3,,,,,
Sirous Gunnarsson Amelia, Ängby SK,3,,,3,,,,,
Taus Amanda, Karlsborgs BTK,3,1,2,,,,,,
Urbonaite Vaiva, Åstorps BOIS,3,,2,,1,,,,
Albaek Maria, Åstorps BOIS,2,,2,,,,,,
Borg Felicia, Sjöbo BTK,2,1,1,,,,,,
Dittlau Hannah, IFK Täby SK,2,,1,1,,,,,
Holm Linnea, Ängby SK,2,1,1,,,,,,
Asp Amanda, Norrtälje BTK,1,,,1,,,,,
Chaitas Amanda, Spårvägens BTK,1,,1,,,,,,
Dembek Filippa, Askims BTK,1,,1,,,,,,
Flor Wilhemsen Rebekka, Trondheims BTK,1,,,1,,,,,
Hedlund Thea, Sjöbo BTK,1,,,,1,,,,
Hejdebäck Emilia, Gefle PK,1,,,1,,,,,
Mitt Maia, LTK Kalev,1,,,1,,,,,
Riina Hanson Katrin, LTK Kalev,1,,,1,,,,,
Ronnebring Julia, Lessebo BTK,1,,1,,,,,,
Shute Mabel, England,1,,1,,,,,,
Stjärnebring Lovis, Lessebo BTK,1,1,,,,,,,
Swarling Lilly, Ängby SK,1,,1,,,,,,
Swartling Frida, Ängby SK,1,,1,,,,,,
