name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Aaltonen Gabriela, Spårvägens BTK,67,,18,28,21,,,,
Benjegård Siri, Askims BTK,46,28,18,,,,,,
Pashley Ela, England,36,,36,,,,,,
Jetha Sienna, England,33,,24,,9,,,,
Sahle Sofia, LinnePartille PK,33,7,3,18,5,,,,
Asp Amanda, Norrtälje Bordtennisklubb,32,7,5,7,13,,,,
Engström Betty, Levide IF,31,4,5,13,9,,,,
Ellermann Clara, Västers BTK,29,7,9,13,,,,,
Bebawy Angelina, KFUM Stocksund IA,27,18,9,,,,,,
Lou Sally, Virum Club,26,13,9,4,,,,,
Cabardo Laurynne, Ängby SK,22,13,9,,,,,,
Mickelborg Filippa, Vestegnen BTK,19,4,5,7,3,,,,
Edvardsson Tilda, Carlshamns BTK,14,2,3,4,5,,,,
Weng Laura, Vestegnen BTK, Greve BTK,14,4,3,2,5,,,,
Swartling Lilly, Ängby SK,13,4,5,4,,,,,
Rosenmeier Stella, IFK Klagshamn,12,7,5,,,,,,
Momeni Ramila, Ängby SK,11,4,3,4,,,,,
Zetterström Frida, Ängby SK,11,4,5,2,,,,,
Enbom Alicia, Carlshamns BTK,9,4,1,2,2,,,,
Kinell Juni, Upplands Väsby BTK,9,,5,4,,,,,
Swartling Frida, Ängby SK,9,2,3,4,,,,,
Dittlau Hannah, IFK Täby BTK,7,,5,2,,,,,
Eriksson Maya, Lyckeby BTK,7,4,2,,1,,,,
Flor Wilhemsen Susanne, Trondheims BTK,7,,,7,,,,,
Lorentzon Emmy, Långemåla BTK,7,1,,1,5,,,,
Luong Borg Neah, Oskarshamns BTK,6,2,3,,1,,,,
Svensson Nellie, Skurups BTK,5,1,3,,1,,,,
Voong Chelinda, Vestegnen BTK,5,,3,,2,,,,
Ahmad Divin, Tibble-Kungsängen BTK,4,1,1,2,,,,,
Bengtsson Karla, Laholms BTK Serve,4,1,3,,,,,,
Källström Hilma, Karlsborgs BTK,4,2,2,,,,,,
Manavicka Eliza, Latvia,4,,,4,,,,,
Sharon Noa, Rishon LeZion,4,,,4,,,,,
Stasevska Polina, Latvia,4,,,4,,,,,
Zetterström Lisa, Ängby SK,4,1,1,2,,,,,
Deckert Marie, Hasle IF/Bornholm,3,2,1,,,,,,
Holm Linnea, Ängby SK,3,2,1,,,,,,
Juhl Larsen Freja, Aleröd Bordtennisklub,3,,3,,,,,,
Thangklang Noppharat, Eslövs AI BTK,3,2,1,,,,,,
Wu Yamwei, Långemåla BTK,3,,,,3,,,,
Zanhar Julia, Lekstorps IF,3,2,,1,,,,,
Edvinsson Tuva, Laholms BTK Serve,2,1,1,,,,,,
Flor Wilhemsen Rebekka, Trondheims BTK,2,,,2,,,,,
Hedlund Ella, Sjöbo BTK,2,,1,,1,,,,
Åkerstedt Tilda, Karlsborgs BTK,2,,1,1,,,,,
Andersson Ellinor, Torslanda Bordtennisklubb,1,1,,,,,,,
Elmerkind Ebba, Bergkvara BTK,1,,,,1,,,,
Izulena Marija, Latvia,1,,,1,,,,,
Lärka Julia, Ängby SK,1,,,1,,,,,
Oberle Agnes, LTK Kalev,1,,,1,,,,,
Wennberg Emilia, Ängby SK,1,,,1,,,,,
Zibunova Anastasija, Latvia,1,,,1,,,,,
